,PCS_ESE,label,Effectifs en EQTP,Salaire moyen en EQTP
316,463e,"Techniciens commerciaux et technico-commerciaux, représentants auprès de particuliers (hors banque, assurance, informatique)",72440,2700
42,471a,"Techniciens d'étude et de conseil en agriculture, eaux et forêt",5060,2700
43,422d,Conseillers principaux d'éducation,12000,2700
314,465b,Assistants techniques de la réalisation des spectacles vivants et audiovisuels salariés,24080,2700
44,431c,Puéricultrices,16630,2800
319,546d,Hôtesses de l'air et stewards,10430,2800
321,654b,Conducteurs qualifiés d'engins de transport guidés (sauf remontées mécaniques),22460,2800
320,486c,"Agents de maîtrise en maintenance, installation en électromécanique",6860,2800
318,484b,"Agents de maîtrise en fabrication : métallurgie, matériaux lourds et autres industries de transformation",19230,2800
317,474b,Techniciens de recherche-développement et des méthodes de fabrication en construction mécanique et travail des métaux,29430,2800
323,485a,"Agents de maîtrise et techniciens en production et distribution d'énergie, eau, chauffage",37270,2900
324,486b,"Agents de maîtrise en maintenance, installation en électricité et électronique",12880,2900
47,354g,Professeurs d'art (hors établissements scolaires),6940,2900
46,422b,Professeurs de lycée professionnel,68100,2900
45,341a,Professeurs agrégés et certifiés de l'enseignement secondaire,359610,2900
322,354a,Artistes plasticiens,1270,2900
326,463c,"Techniciens commerciaux et technico-commerciaux, représentants en biens de consommation auprès d'entreprises",32680,3000
327,463b,"Techniciens commerciaux et technico-commerciaux, représentants en biens d'équipement, en biens intermédiaires, commerce interindustriel (hors informatique)",35830,3000
325,483a,"Agents de maîtrise en construction mécanique, travail des métaux",12960,3000
328,484a,"Agents de maîtrise en fabrication : agroalimentaire, chimie, plasturgie, pharmacie.",35110,3000
49,431e,Sages-femmes salariées,12880,3100
48,342g,Ingénieurs d'étude et de recherche de la recherche publique,30930,3100
50,351a,"Bibliothécaires, archivistes, conservateurs et autres cadres du patrimoine",10070,3100
331,463d,"Techniciens commerciaux et technico-commerciaux, représentants en services auprès d'entreprises ou de professionnels (hors banque, assurance, informatique)",31440,3200
329,354b,Artistes de la musique et du chant,7300,3200
51,431a,Cadres infirmiers et assimilés,36240,3200
52,342c,Professeurs agrégés et certifiés en fonction dans l'enseignement supérieur,15360,3200
330,434a,Cadres de l'intervention socio-éducative,36240,3200
53,452a,Inspecteurs et officiers de police,6720,3300
334,311e,Vétérinaires,6360,3300
333,382b,Architectes salariés,14770,3300
332,377a,Cadres de l'hôtellerie et de la restauration,34550,3300
338,372f,"Cadres de la documentation, de l'archivage (hors fonction publique)",4400,3400
337,233a,"Chefs d'entreprise du bâtiment et des travaux publics, de 10 à 49 salariés",16910,3400
336,372d,Cadres spécialistes de la formation,38430,3400
335,381b,"Ingénieurs et cadres d'étude et développement de l'agriculture, la pêche, les eaux et forêts",6630,3400
56,333f,"Personnels administratifs de catégorie A des collectivités locales et hôpitaux publics (hors Enseignement, Patrimoine)",106030,3500
55,333e,"Autres personnels administratifs de catégorie A de l'Etat (hors Enseignement, Patrimoine, Impôts, Trésor, Douanes)",89100,3500
54,431d,Infirmiers spécialisés (autres qu'infirmiers psychiatriques et puéricultrices),14730,3500
339,376f,Cadres des services techniques des organismes de sécurité sociale et assimilés,17150,3500
340,352a,Journalistes (y c. rédacteurs en chef),31310,3500
342,381c,"Ingénieurs et cadres de production et d'exploitation de l'agriculture, la pêche, les eaux et forêts",3380,3600
343,387f,Ingénieurs et cadres techniques de l'environnement,20430,3600
58,333a,Magistrats,23470,3600
57,332b,Ingénieurs des collectivités locales et des hôpitaux,47450,3600
341,344d,Pharmaciens salariés,30920,3600
344,374a,Cadres de l'exploitation des magasins de vente du commerce de détail,88790,3700
347,354f,Artistes du cirque et des spectacles divers,3150,3700
346,382c,"Ingénieurs, cadres de chantier et conducteurs de travaux (cadres) du bâtiment et des travaux publics",70670,3700
345,382a,Ingénieurs et cadres d'étude du bâtiment et des travaux publics,58070,3700
348,386c,"Ingénieurs et cadres d'étude, recherche et développement des autres industries (imprimerie, matériaux souples, ameublement et bois)",15130,3700
350,652b,Dockers,5790,3700
351,388a,"Ingénieurs et cadres d'étude, recherche et développement en informatique",321070,3700
59,342b,Professeurs et maîtres de conférences,61100,3700
349,354c,Artistes dramatiques,8340,3700
352,424a,"Moniteurs et éducateurs sportifs, sportifs professionnels",43430,3800
60,342f,Directeurs et chargés de recherche de la recherche publique,19750,3800
353,387d,Ingénieurs et cadres du contrôle-qualité,52200,3900
355,387e,"Ingénieurs et cadres de la maintenance, de l'entretien et des travaux neufs",40320,3900
62,332a,Ingénieurs de l'Etat (y.c. ingénieurs militaires) et assimilés,26130,3900
354,384a,"Ingénieurs et cadres d'étude, recherche et développement en mécanique et travail des métaux",61590,3900
61,333b,"Inspecteurs et autres personnels de catégorie A des Impôts, du Trésor et des Douanes",31440,3900
356,382d,"Ingénieurs et cadres technico-commerciaux en bâtiment, travaux publics",26070,4000
357,388c,"Chefs de projets informatiques, responsables informatiques",173490,4000
358,233c,"Chefs d'entreprise commerciale, de 10 à 49 salariés",35250,4000
359,386e,"Ingénieurs et cadres de fabrication des autres industries (imprimerie, matériaux souples, ameublement et bois)",9760,4000
362,376c,Cadres commerciaux de la banque,57240,4100
366,384b,Ingénieurs et cadres de fabrication en mécanique et travail des métaux,28660,4100
365,387b,"Ingénieurs et cadres de la logistique, du planning et de l'ordonnancement",49570,4100
364,384c,Ingénieurs et cadres technico-commerciaux en matériel mécanique professionnel,16540,4100
363,388b,"Ingénieurs et cadres d'administration, maintenance, support et services aux utilisateurs en informatique",61500,4100
360,372e,Juristes,49570,4100
361,375a,Cadres de la publicité,26900,4100
367,383a,"Ingénieurs et cadres d'étude, recherche et développement en électricité, électronique",56650,4100
63,341b,Chefs d'établissement de l'enseignement secondaire et inspecteurs,21090,4100
368,389a,Ingénieurs et cadres techniques de l'exploitation des transports,40600,4100
370,387c,Ingénieurs et cadres des méthodes de production,41590,4200
369,383b,"Ingénieurs et cadres de fabrication en matériel électrique, électronique",10700,4200
372,388e,Ingénieurs et cadres spécialistes des télécommunications,25630,4200
371,353c,Cadres artistiques et technico-artistiques de la réalisation de l'audiovisuel et des spectacles,20610,4200
374,373d,Cadres des autres services administratifs des petites et moyennes entreprises,161880,4300
375,353b,"Directeurs, responsables de programmation et de production de l'audiovisuel et des spectacles",6300,4300
373,387a,Ingénieurs et cadres des achats et approvisionnements industriels,31090,4300
384,386b,"Ingénieurs et cadres d'étude, recherche et développement de la distribution d'énergie, eau",26300,4400
383,372c,Cadres spécialistes des ressources humaines et du recrutement,87390,4400
381,375b,Cadres des relations publiques et de la communication,44640,4400
380,376e,Cadres des services techniques des assurances,58470,4400
379,373c,Cadres des services financiers ou comptables des petites et moyennes entreprises,112230,4400
382,385a,"Ingénieurs et cadres d'étude, recherche et développement des industries de transformation (agroalimentaire, chimie, métallurgie, matériaux lourds)",63430,4400
377,376g,Cadres de l'immobilier,40880,4400
376,374b,"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique",61940,4400
